programme_title,programme_url,year_or_group,module_name,module_code,nqf_level,credits,pdf_url,pdf_local_path
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Web Programming 381,WPR381,7,9,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Web-Programming-381-WPR381.pdf,kb_output\pdfs\Web-Programming-381-WPR381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Data Science 381,BIN381,8,30,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Data-Science-381-DTS381.pdf,kb_output\pdfs\Data-Science-381-DTS381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Database Administration 381,DBA381,7,9,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Administration-381-DBA381.pdf,kb_output\pdfs\Database-Administration-381-DBA381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Statistics 381,STA381,7,9,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Statistics-381-STA381.pdf,kb_output\pdfs\Statistics-381-STA381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Innovation Management 381,INM381,7,11,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Innovation-Management-381-INM381.pdf,kb_output\pdfs\Innovation-Management-381-INM381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Machine Learning 382,MLG382,7,11,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Machine-Learning-382-MLG382.pdf,kb_output\pdfs\Machine-Learning-382-MLG382.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,User Experience Design 381,UAX381,7,11,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/User-Experience-Design-381-UXD381.pdf,kb_output\pdfs\User-Experience-Design-381-UXD381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Applied Information Technology 481,AIT481,7,60,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Applied-Information-Technology-481-AIT481.pdf,kb_output\pdfs\Applied-Information-Technology-481-AIT481.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Applied Information Technology 482,AIT482,8,60,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Applied-Information-Technology-482-AIT482.pdf,kb_output\pdfs\Applied-Information-Technology-482-AIT482.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Dissertation 481,DST481,8,30,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Dissertation-481-DST481.pdf,kb_output\pdfs\Dissertation-481-DST481.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Subject outcomes,–,–,–,,
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Academic Writing 181,Academic Writing 181,Academic Writing 181,Academic Writing 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Academic-Writing-181-ACW181.pdf,kb_output\pdfs\Academic-Writing-181-ACW181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Computer Architecture 181,Computer Architecture 181,Computer Architecture 181,Computer Architecture 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Computer-Architecture-181-COA181.pdf,kb_output\pdfs\Computer-Architecture-181-COA181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Database Development 181,Database Development 181,Database Development 181,Database Development 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Development-181-DBD181.pdf,kb_output\pdfs\Database-Development-181-DBD181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Information Systems 181,Information Systems 181,Information Systems 181,Information Systems 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/03/Information-Systems-181-INF181.pdf,kb_output\pdfs\Information-Systems-181-INF181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Innovation and Leadership 101,Innovation and Leadership 101,Innovation and Leadership 101,Innovation and Leadership 101,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Innovation-and-Leadership-101-INL101.pdf,kb_output\pdfs\Innovation-and-Leadership-101-INL101.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Innovation and Leadership 102,Innovation and Leadership 102,Innovation and Leadership 102,Innovation and Leadership 102,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Innovation-and-Leadership-102-INL102.pdf,kb_output\pdfs\Innovation-and-Leadership-102-INL102.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Linear Programming 181,Linear Programming 181,Linear Programming 181,Linear Programming 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Linear-Programming-181-LPR181.pdf,kb_output\pdfs\Linear-Programming-181-LPR181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Mathematics 181,Mathematics 181,Mathematics 181,Mathematics 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Mathematics-181-MAT181.pdf,kb_output\pdfs\Mathematics-181-MAT181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Networking Development 181,Networking Development 181,Networking Development 181,Networking Development 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Network-Development-181-NWD181.pdf,kb_output\pdfs\Network-Development-181-NWD181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Programming 181,Programming 181,Programming 181,Programming 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Programming-181-PRG181.pdf,kb_output\pdfs\Programming-181-PRG181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Programming 182,Programming 182,Programming 182,Programming 182,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Programming-182-PRG182.pdf,kb_output\pdfs\Programming-182-PRG182.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Statistics 181,Statistics 181,Statistics 181,Statistics 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Statistics-181-STA181.pdf,kb_output\pdfs\Statistics-181-STA181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Web Programming 181,Web Programming 181,Web Programming 181,Web Programming 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Web-Programming-181-WPR181.pdf,kb_output\pdfs\Web-Programming-181-WPR181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Business Management 181,Business Management 181,Business Management 181,Business Management 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Business-Management-181-BUM181.pdf,kb_output\pdfs\Business-Management-181-BUM181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Entrepreneurship 181,Entrepreneurship 181,Entrepreneurship 181,Entrepreneurship 181,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Entrepreneurship-181-ENT181.pdf,kb_output\pdfs\Entrepreneurship-181-ENT181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Database Development 281,Database Development 281,Database Development 281,Database Development 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Development-281-DBD281.pdf,kb_output\pdfs\Database-Development-281-DBD281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Information Systems 281,Information Systems 281,Information Systems 281,Information Systems 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Information-Systems-281-INF281.pdf,kb_output\pdfs\Information-Systems-281-INF281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Innovation and Leadership 201,Innovation and Leadership 201,Innovation and Leadership 201,Innovation and Leadership 201,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Innovation-and-Leadership-201-INL201.pdf,kb_output\pdfs\Innovation-and-Leadership-201-INL201.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Innovation and Leadership 202,Innovation and Leadership 202,Innovation and Leadership 202,Innovation and Leadership 202,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Innovation-and-Leadership-202-INL202.pdf,kb_output\pdfs\Innovation-and-Leadership-202-INL202.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Linear Programming 281,Linear Programming 281,Linear Programming 281,Linear Programming 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Linear-Programming-281-LPR281.pdf,kb_output\pdfs\Linear-Programming-281-LPR281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Mathematics 281,Mathematics 281,Mathematics 281,Mathematics 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Mathematics-281-MAT281.pdf,kb_output\pdfs\Mathematics-281-MAT281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Programming 281,Programming 281,Programming 281,Programming 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Programming-281-PRG281.pdf,kb_output\pdfs\Programming-281-PRG281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Programming 282,Programming 282,Programming 282,Programming 282,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Programming-282-PRG282.pdf,kb_output\pdfs\Programming-282-PRG282.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Project Management 281,Project Management 281,Project Management 281,Project Management 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Project-Management-281-PMM281.pdf,kb_output\pdfs\Project-Management-281-PMM281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Statistics 281,Statistics 281,Statistics 281,Statistics 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Project-Management-281-PMM281.pdf,kb_output\pdfs\Project-Management-281-PMM281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Web Programming 281,Web Programming 281,Web Programming 281,Web Programming 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Web-Programming-281-WPR281.pdf,kb_output\pdfs\Web-Programming-281-WPR281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Software Analysis & Design 281,Software Analysis & Design 281,Software Analysis & Design 281,Software Analysis & Design 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Software-Analysis-and-Design-281-SAD281.pdf,kb_output\pdfs\Software-Analysis-and-Design-281-SAD281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Data Warehousing 281,Data Warehousing 281,Data Warehousing 281,Data Warehousing 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Data-Warehousing-281-DWH281.pdf,kb_output\pdfs\Data-Warehousing-281-DWH281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Internet Of Things 281,Internet Of Things 281,Internet Of Things 281,Internet Of Things 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Internet-of-Things-281-IOT281.pdf,kb_output\pdfs\Internet-of-Things-281-IOT281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Software Testing 281,Software Testing 281,Software Testing 281,Software Testing 281,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Software-Testing-281-SWT281.pdf,kb_output\pdfs\Software-Testing-281-SWT281.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Research Methods 381,Research Methods 381,Research Methods 381,Research Methods 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Research-Methods-381-RSH381.pdf,kb_output\pdfs\Research-Methods-381-RSH381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Database Development 381,Database Development 381,Database Development 381,Database Development 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Development-381-DBD381.pdf,kb_output\pdfs\Database-Development-381-DBD381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Innovation and Leadership 381,Innovation and Leadership 381,Innovation and Leadership 381,Innovation and Leadership 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/03/Innovation-and-Leadership-381-INL381.pdf,kb_output\pdfs\Innovation-and-Leadership-381-INL381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Linear Programming 381,Linear Programming 381,Linear Programming 381,Linear Programming 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Linear-Programming-381-LPR381.pdf,kb_output\pdfs\Linear-Programming-381-LPR381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Machine Learning 381,Machine Learning 381,Machine Learning 381,Machine Learning 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/03/Machine-Learning-381-MLG381.pdf,kb_output\pdfs\Machine-Learning-381-MLG381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Project 381,Project 381,Project 381,Project 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Project-381-PRJ381.pdf,kb_output\pdfs\Project-381-PRJ381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Project Management 381,Project Management 381,Project Management 381,Project Management 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Project-Management-381-PMM381.pdf,kb_output\pdfs\Project-Management-381-PMM381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Programming 381,Programming 381,Programming 381,Programming 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Programming-381-PRG381.pdf,kb_output\pdfs\Programming-381-PRG381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Software Engineering 381,Software Engineering 381,Software Engineering 381,Software Engineering 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Software-Engineering-381-SEN381.pdf,kb_output\pdfs\Software-Engineering-381-SEN381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Web Programming 381,Web Programming 381,Web Programming 381,Web Programming 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Web-Programming-381-WPR381.pdf,kb_output\pdfs\Web-Programming-381-WPR381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Data Science 381,Data Science 381,Data Science 381,Data Science 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Data-Science-381-DTS381.pdf,kb_output\pdfs\Data-Science-381-DTS381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Database Administration 381,Database Administration 381,Database Administration 381,Database Administration 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Administration-381-DBA381.pdf,kb_output\pdfs\Database-Administration-381-DBA381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Statistics 381,Statistics 381,Statistics 381,Statistics 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Statistics-381-STA381.pdf,kb_output\pdfs\Statistics-381-STA381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Innovation Management 381,Innovation Management 381,Innovation Management 381,Innovation Management 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Innovation-Management-381-INM381.pdf,kb_output\pdfs\Innovation-Management-381-INM381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Machine Learning 382,Machine Learning 382,Machine Learning 382,Machine Learning 382,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Machine-Learning-382-MLG382.pdf,kb_output\pdfs\Machine-Learning-382-MLG382.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,User Experience Design 381,User Experience Design 381,User Experience Design 381,User Experience Design 381,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/User-Experience-Design-381-UXD381.pdf,kb_output\pdfs\User-Experience-Design-381-UXD381.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Applied Information Technology 481,Applied Information Technology 481,Applied Information Technology 481,Applied Information Technology 481,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Applied-Information-Technology-481-AIT481.pdf,kb_output\pdfs\Applied-Information-Technology-481-AIT481.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Applied Information Technology 482,Applied Information Technology 482,Applied Information Technology 482,Applied Information Technology 482,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Applied-Information-Technology-482-AIT482.pdf,kb_output\pdfs\Applied-Information-Technology-482-AIT482.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Dissertation 481,Dissertation 481,Dissertation 481,Dissertation 481,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Dissertation-481-DST481.pdf,kb_output\pdfs\Dissertation-481-DST481.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Subject outcomes,–,–,–,,
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,,cookielawinfo-checkbox-analytics,cookielawinfo-checkbox-analytics,cookielawinfo-checkbox-analytics,cookielawinfo-checkbox-analytics,,
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,,cookielawinfo-checkbox-functional,cookielawinfo-checkbox-functional,cookielawinfo-checkbox-functional,cookielawinfo-checkbox-functional,,
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,,cookielawinfo-checkbox-necessary,cookielawinfo-checkbox-necessary,cookielawinfo-checkbox-necessary,cookielawinfo-checkbox-necessary,,
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,,cookielawinfo-checkbox-others,cookielawinfo-checkbox-others,cookielawinfo-checkbox-others,cookielawinfo-checkbox-others,,
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,,cookielawinfo-checkbox-performance,cookielawinfo-checkbox-performance,cookielawinfo-checkbox-performance,cookielawinfo-checkbox-performance,,
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,,viewed_cookie_policy,viewed_cookie_policy,viewed_cookie_policy,viewed_cookie_policy,,
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Business Communication 161,BUC161,5,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Business-Communication-161-BUC161.pdf,kb_output\pdfs\Business-Communication-161-BUC161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Business Management and Entrepreneurship 161,BME161,5,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Business-Management-and-Entrepreneurship-161-BME161.pdf,kb_output\pdfs\Business-Management-and-Entrepreneurship-161-BME161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Computer Architecture 161,COA161,5,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Computer-Architecture-161-COA161.pdf,kb_output\pdfs\Computer-Architecture-161-COA161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Database Concept 161,DBC161,5,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Concept-161-DBC161.pdf,kb_output\pdfs\Database-Concept-161-DBC161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Database Functionality 161,DBF161,5,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Functionality-161-DBF161.pdf,kb_output\pdfs\Database-Functionality-161-DBF161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,End User Computing 161,EUC161,5,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/End-User-Computing-161-EUC161.pdf,kb_output\pdfs\End-User-Computing-161-EUC161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Innovation and Leadership 161,INL161,5,10,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/11/Innovation-and-Leadership-161-INL161.pdf,kb_output\pdfs\Innovation-and-Leadership-161-INL161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Internet of Things 161,IOT161,5,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Internet-of-Things-161-IOT161.pdf,kb_output\pdfs\Internet-of-Things-161-IOT161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Mathematics 161,MAT161,5,10,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Mathematics-161-MAT161.pdf,kb_output\pdfs\Mathematics-161-MAT161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Network Development 161,NWD161,5,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Network-Development-161-NWD161.pdf,kb_output\pdfs\Network-Development-161-NWD161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Problem Solving 161,PRS161,5,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Problem-Solving-161-PRS161.pdf,kb_output\pdfs\Problem-Solving-161-PRS161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Programming 161,PRG161,5,12,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Programming-161-PRG161-1.pdf,kb_output\pdfs\Programming-161-PRG161-1.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Programming Principles 161,PRP161,5,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Programming-Principles-161-PRP161-1.pdf,kb_output\pdfs\Programming-Principles-161-PRP161-1.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Web Programming 161,WPR161,5,12,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Web-Programming-161-WPR161-1.pdf,kb_output\pdfs\Web-Programming-161-WPR161-1.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Statistics 161,STA161,5,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Statistics-161-STA161-1.pdf,kb_output\pdfs\Statistics-161-STA161-1.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Database Development 261,DBD261,6,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Development-261-DBD261.pdf,kb_output\pdfs\Database-Development-261-DBD261.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Enterprise Systems 261,ERP261,6,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Enterprise-Systems-261-ERP261.pdf,kb_output\pdfs\Enterprise-Systems-261-ERP261.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Innovation and Leadership 261,INL261,6,10,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/11/Innovation-and-Leadership-261-INL261.pdf,kb_output\pdfs\Innovation-and-Leadership-261-INL261.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,IT Law and Ethics 261,ILE261,6,6,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/IT-Law-and-Ethics-261-ILE261.pdf,kb_output\pdfs\IT-Law-and-Ethics-261-ILE261.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Project Management 261,PMM261,6,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Project-Management-261-PMM261.pdf,kb_output\pdfs\Project-Management-261-PMM261.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Business Communication 161,Business Communication 161,Business Communication 161,Business Communication 161,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Business-Communication-161-BUC161.pdf,kb_output\pdfs\Business-Communication-161-BUC161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Business Management and Entrepreneurship 161,Business Management and Entrepreneurship 161,Business Management and Entrepreneurship 161,Business Management and Entrepreneurship 161,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Business-Management-and-Entrepreneurship-161-BME161.pdf,kb_output\pdfs\Business-Management-and-Entrepreneurship-161-BME161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Computer Architecture 161,Computer Architecture 161,Computer Architecture 161,Computer Architecture 161,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Computer-Architecture-161-COA161.pdf,kb_output\pdfs\Computer-Architecture-161-COA161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Database Concept 161,Database Concept 161,Database Concept 161,Database Concept 161,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Concept-161-DBC161.pdf,kb_output\pdfs\Database-Concept-161-DBC161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,Database Functionality 161,Database Functionality 161,Database Functionality 161,Database Functionality 161,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Functionality-161-DBF161.pdf,kb_output\pdfs\Database-Functionality-161-DBF161.pdf
Diploma in Information Technology,https://www.belgiumcampus.ac.za/diploma-in-information-technology/,,End User Computing 161,End User Computing 161,End User Computing 161,End User Computing 161,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/End-User-Computing-161-EUC161.pdf,kb_output\pdfs\End-User-Computing-161-EUC161.pdf
